name,start,end
autumn holidays,2019-10-09,2019-10-18
reformation day holidays,2019-10-31,2019-11-01
christmas holidays,2019-12-20,2020-01-03
mid year holidays,2020-01-31,2020-01-31
spring holidays,2020-03-02,2020-03-12
ascension holidays,2020-05-18,2020-05-22
summer holidays,2020-06-25,2020-08-05
autumn holidays,2020-10-05,2020-10-16
christmas holidays,2020-12-21,2021-01-04
spring holidays,2021-03-01,2021-03-12
ascension holidays,2021-05-10,2021-05-14
summer holidays,2021-06-24,2021-08-04
autumn holidays,2021-10-04,2021-10-15
christmas holidays,2021-12-23,2022-01-04